,Label TextBlob
17883,positive
26726,neutral
45591,negative
25807,positive
21764,neutral
14784,positive
39033,negative
29466,positive
27688,neutral
47281,negative
31276,neutral
46150,negative
8272,positive
31762,positive
29742,positive
41486,negative
24405,neutral
30190,negative
9149,neutral
12983,negative
31269,negative
7478,positive
10725,negative
39915,negative
38512,negative
14969,negative
47939,positive
12186,negative
11346,negative
3275,neutral
48312,positive
14466,positive
12012,positive
47571,positive
18567,negative
43430,negative
35607,positive
46404,negative
3730,positive
30340,neutral
26246,neutral
4381,neutral
41979,negative
4576,neutral
22244,positive
34784,positive
42051,negative
31249,positive
25265,negative
8997,neutral
45765,negative
38930,negative
48213,positive
41001,negative
7068,positive
27553,positive
7711,negative
3816,positive
6892,positive
3373,positive
4100,neutral
13136,neutral
16987,negative
46803,negative
34859,positive
12585,neutral
46314,negative
13721,negative
11467,neutral
15553,neutral
24220,neutral
21111,neutral
25612,positive
36886,positive
931,neutral
38336,negative
21080,neutral
19135,positive
4697,positive
13927,neutral
34722,positive
30041,neutral
9652,neutral
42296,negative
6347,positive
8196,positive
29627,neutral
7908,neutral
17128,neutral
8203,negative
22643,positive
37936,negative
7960,neutral
8559,positive
2558,positive
7335,negative
24809,neutral
44706,negative
26368,neutral
2195,neutral
27481,neutral
43675,negative
34259,positive
42190,negative
8535,positive
7802,negative
47359,negative
37345,neutral
8834,negative
30950,neutral
2850,neutral
27131,neutral
17421,neutral
17775,neutral
1936,negative
23423,negative
47576,positive
26067,positive
32466,neutral
9818,neutral
18072,neutral
38198,negative
30358,positive
16308,positive
39156,negative
10500,neutral
34343,neutral
2670,negative
16037,neutral
10415,neutral
44330,negative
42978,negative
45407,negative
28354,neutral
37725,neutral
21618,neutral
9242,neutral
26486,neutral
20486,neutral
14585,positive
36592,neutral
16707,positive
40198,negative
21037,negative
1240,neutral
1649,neutral
24354,positive
43562,negative
30259,positive
7014,neutral
23541,positive
15017,positive
20207,neutral
34372,negative
44071,negative
4053,negative
20104,neutral
27163,positive
48106,positive
31654,negative
5267,positive
48062,positive
32670,neutral
46317,negative
37581,neutral
42249,negative
37894,negative
37114,positive
8506,neutral
12930,neutral
22734,positive
525,neutral
32122,positive
13969,neutral
36403,neutral
39811,negative
27780,negative
16453,negative
20167,negative
5468,neutral
35269,neutral
5338,negative
4361,neutral
29088,neutral
17960,positive
4578,neutral
9695,neutral
43774,negative
46874,negative
44263,negative
33702,positive
11245,positive
3049,negative
23124,negative
31613,positive
10063,neutral
24109,positive
45976,negative
39675,negative
48367,positive
24048,positive
30653,negative
6624,positive
11970,positive
910,positive
38910,negative
23383,negative
25604,positive
44602,negative
805,positive
10304,neutral
18634,neutral
13114,positive
8525,neutral
9191,positive
9450,positive
23414,neutral
25773,positive
27388,neutral
40273,negative
2119,negative
32479,neutral
7370,positive
33766,neutral
1519,neutral
16671,neutral
26055,negative
22697,neutral
42358,negative
34135,positive
44682,negative
31350,negative
25681,positive
38347,negative
7073,negative
11474,neutral
16524,positive
16041,positive
33378,neutral
23205,negative
43737,negative
37618,positive
20535,positive
47424,negative
12462,positive
8582,neutral
44851,negative
6992,neutral
33822,positive
6478,positive
6221,neutral
7961,negative
38288,negative
45362,negative
29195,positive
16508,neutral
29351,positive
28688,positive
17395,positive
29344,neutral
27166,neutral
45449,negative
25413,positive
43249,negative
33103,neutral
32662,neutral
20161,positive
5379,negative
42827,negative
47537,positive
27528,neutral
21616,positive
25227,neutral
22472,neutral
22870,positive
22574,positive
43632,negative
7217,positive
48361,positive
5248,neutral
19671,neutral
23235,positive
40456,negative
25790,neutral
34193,positive
31393,neutral
29932,positive
15449,neutral
19673,negative
43841,negative
7756,positive
19420,negative
43239,negative
9756,neutral
2822,neutral
12506,positive
42149,negative
30980,positive
22963,neutral
37617,neutral
3712,positive
10851,neutral
15998,positive
10192,negative
15581,positive
13883,positive
9963,neutral
15307,negative
20957,positive
17973,neutral
47237,negative
8568,positive
29396,positive
16630,positive
31623,positive
42168,negative
43404,negative
5476,neutral
41364,negative
35060,positive
17260,neutral
35072,neutral
32867,neutral
21872,positive
31186,positive
984,neutral
36623,neutral
21310,neutral
1443,positive
21585,neutral
25386,neutral
14167,positive
28512,positive
18330,neutral
48403,positive
35094,positive
16924,neutral
41457,negative
4679,positive
41221,negative
800,positive
30339,neutral
4025,negative
9762,positive
35012,neutral
36748,negative
4746,neutral
27499,neutral
42491,negative
42860,negative
36482,positive
18759,positive
47213,negative
3224,positive
23100,positive
19191,negative
3489,negative
4644,negative
7400,positive
47357,negative
3564,neutral
10733,neutral
47664,positive
30253,neutral
13657,negative
32060,neutral
33872,neutral
2031,negative
41088,negative
31686,positive
30328,positive
17309,positive
36254,positive
33646,neutral
42146,negative
21474,neutral
47315,negative
26125,positive
17193,positive
3624,negative
30764,positive
16008,positive
8960,negative
40823,negative
8220,negative
39496,negative
39936,negative
2827,neutral
19943,neutral
14617,positive
1568,negative
4640,negative
4854,positive
12088,negative
19021,neutral
16243,neutral
25220,positive
25769,positive
37710,positive
39568,negative
13444,neutral
31068,neutral
41590,negative
38464,negative
865,positive
9676,negative
47266,negative
15715,neutral
2019,neutral
45043,negative
20169,positive
28743,neutral
46586,negative
10609,neutral
13704,negative
16495,neutral
42933,negative
29895,neutral
4050,negative
22903,positive
36722,negative
3659,neutral
30438,positive
32807,neutral
7037,negative
38753,negative
10390,negative
28124,positive
39289,negative
20501,neutral
34156,positive
18930,neutral
46347,negative
2419,positive
16370,positive
13187,positive
36856,positive
31069,negative
47736,positive
36472,negative
48124,positive
12238,neutral
31222,positive
26914,neutral
9529,neutral
27104,positive
7367,neutral
34290,positive
7088,neutral
31752,positive
21161,neutral
4112,positive
5238,positive
23960,positive
6619,positive
22221,neutral
9820,positive
4389,neutral
46029,negative
19405,positive
9378,positive
47428,negative
10673,negative
19571,negative
14871,positive
2553,positive
47146,negative
31943,neutral
16578,neutral
3959,neutral
23502,neutral
47487,positive
40852,negative
6232,positive
6815,positive
14221,positive
3,positive
37463,negative
10636,neutral
23253,positive
3921,neutral
40171,negative
21964,positive
27848,negative
9120,neutral
28371,positive
25196,neutral
17155,positive
1509,positive
29278,positive
12859,neutral
23409,positive
47433,negative
26935,positive
11218,negative
15255,positive
34833,positive
5478,neutral
23754,negative
17579,positive
37200,neutral
19611,positive
24648,neutral
8494,positive
22607,neutral
22419,positive
7484,neutral
24342,positive
20270,neutral
2033,neutral
18755,neutral
25120,neutral
18159,neutral
32873,positive
26596,neutral
13523,neutral
5517,neutral
6019,neutral
34944,positive
21590,positive
41683,negative
36304,negative
26111,positive
40556,negative
16130,positive
45622,negative
1924,positive
3413,positive
37151,neutral
9708,neutral
34800,negative
21226,negative
10374,neutral
17304,positive
41615,negative
40293,negative
44820,negative
28839,positive
42098,negative
6195,negative
26010,positive
27325,positive
15718,neutral
21903,negative
13286,neutral
36159,positive
29012,positive
42239,negative
6006,positive
40015,negative
8730,neutral
39943,negative
8282,neutral
29636,negative
32984,neutral
43685,negative
40940,negative
28348,positive
10509,positive
27275,neutral
28561,positive
44370,negative
33427,neutral
43064,negative
9339,negative
39249,negative
32998,neutral
1480,negative
44198,negative
16288,negative
3962,negative
34086,positive
28535,positive
528,positive
48025,positive
41527,negative
25345,neutral
1930,negative
7314,neutral
18914,neutral
885,negative
25859,positive
1048,positive
6234,positive
21726,neutral
44411,negative
3648,positive
22188,positive
41039,negative
29041,negative
512,positive
8836,positive
31234,positive
38126,negative
48146,positive
26323,neutral
40216,negative
18111,neutral
22298,neutral
44475,negative
20947,negative
32635,neutral
4272,neutral
35312,positive
48179,positive
42573,negative
28864,positive
13706,positive
29017,positive
37922,negative
21740,neutral
22687,neutral
42711,negative
34757,positive
524,negative
16457,neutral
26849,neutral
14397,positive
12669,neutral
17704,positive
45964,negative
8757,negative
13666,negative
47888,positive
33976,neutral
36410,negative
37946,negative
38405,negative
45223,negative
7198,positive
44579,negative
8498,positive
6697,positive
1368,negative
18711,neutral
27960,neutral
1719,positive
47949,positive
4049,negative
34021,positive
31387,neutral
14137,positive
34492,positive
4125,neutral
44266,negative
3385,negative
43969,negative
45991,negative
6719,positive
3903,positive
37408,neutral
25937,positive
3223,positive
29053,negative
22174,neutral
42403,negative
30257,positive
30521,negative
19885,neutral
30515,positive
21183,neutral
39746,negative
30376,negative
35004,negative
23421,neutral
25375,neutral
34282,positive
26219,positive
25641,positive
24050,positive
21348,positive
14393,positive
33115,neutral
41863,negative
42434,negative
19387,neutral
11295,positive
27318,neutral
41655,negative
46661,negative
34412,neutral
24352,positive
39041,negative
33665,neutral
38333,negative
4603,neutral
8503,neutral
9278,negative
18122,neutral
48365,positive
28747,positive
6314,negative
21458,negative
13272,positive
43684,negative
21622,neutral
46428,negative
33785,neutral
20408,neutral
33583,positive
7508,negative
35352,neutral
14805,positive
44903,negative
32554,positive
28938,negative
27277,negative
17574,positive
38166,negative
2141,neutral
25665,neutral
31704,neutral
2580,positive
13484,positive
23429,positive
1950,neutral
9236,positive
5773,neutral
48226,positive
33973,negative
9528,negative
42385,negative
38114,negative
44773,negative
32050,neutral
22090,neutral
5457,neutral
24642,neutral
23288,neutral
3834,negative
26231,neutral
11311,neutral
7708,positive
34345,neutral
40167,negative
19910,positive
11473,positive
4206,positive
26051,positive
36801,positive
36152,neutral
17250,negative
819,positive
9313,neutral
16076,neutral
40449,negative
