,Label TextBlob
0,positive
1,neutral
2,neutral
3,neutral
4,negative
5,neutral
6,neutral
7,positive
8,negative
9,positive
10,neutral
11,neutral
12,positive
13,positive
14,neutral
15,negative
16,positive
17,negative
18,neutral
19,positive
20,negative
21,positive
22,positive
23,positive
24,positive
25,negative
26,negative
27,neutral
28,positive
29,negative
30,neutral
31,neutral
32,neutral
33,positive
34,neutral
35,negative
36,neutral
37,neutral
38,negative
39,neutral
40,neutral
41,neutral
42,neutral
43,neutral
44,positive
45,neutral
46,neutral
47,positive
48,positive
49,positive
50,negative
51,negative
52,neutral
53,positive
54,negative
55,positive
56,negative
57,positive
58,neutral
59,neutral
60,neutral
61,neutral
62,neutral
63,neutral
64,neutral
65,positive
66,neutral
67,neutral
68,positive
69,neutral
70,positive
71,neutral
72,positive
73,neutral
74,positive
75,neutral
76,negative
77,negative
78,negative
79,positive
80,positive
81,neutral
82,positive
83,neutral
84,positive
85,positive
86,neutral
87,neutral
88,neutral
89,negative
90,neutral
91,negative
92,positive
93,neutral
94,neutral
95,negative
96,negative
97,positive
98,negative
99,neutral
100,neutral
101,negative
102,positive
103,neutral
104,neutral
105,positive
106,positive
107,neutral
108,neutral
109,negative
110,negative
111,negative
112,positive
113,neutral
114,positive
115,positive
116,positive
117,neutral
118,neutral
119,positive
120,neutral
121,positive
122,neutral
123,negative
124,positive
125,positive
126,positive
127,negative
128,positive
129,neutral
130,neutral
131,negative
132,neutral
133,positive
134,negative
135,negative
136,neutral
137,neutral
138,positive
139,neutral
140,positive
141,positive
142,positive
143,positive
144,neutral
145,positive
146,negative
147,positive
148,neutral
149,positive
150,positive
151,neutral
152,positive
153,positive
154,positive
155,negative
156,neutral
157,neutral
158,negative
159,negative
160,negative
161,positive
162,neutral
163,neutral
164,negative
165,negative
166,neutral
167,negative
168,neutral
169,neutral
170,negative
171,negative
172,negative
173,positive
174,negative
175,neutral
176,positive
177,positive
178,positive
179,positive
180,neutral
181,neutral
182,positive
183,positive
184,neutral
185,neutral
186,negative
187,positive
188,neutral
189,neutral
190,positive
191,positive
192,neutral
193,neutral
194,neutral
195,neutral
196,negative
197,neutral
198,positive
199,positive
200,positive
201,positive
202,positive
203,neutral
204,neutral
205,negative
206,negative
207,neutral
208,positive
209,neutral
210,positive
211,negative
212,positive
213,negative
214,neutral
215,neutral
216,positive
217,neutral
218,positive
219,neutral
220,negative
221,positive
222,neutral
223,negative
224,negative
225,positive
226,negative
227,negative
228,neutral
229,positive
230,negative
231,positive
232,positive
233,positive
234,positive
235,neutral
236,positive
237,neutral
238,neutral
239,positive
240,positive
241,negative
242,neutral
243,positive
244,negative
245,positive
246,positive
247,neutral
248,positive
249,neutral
250,neutral
251,neutral
252,positive
253,negative
254,positive
255,positive
256,negative
257,negative
258,neutral
259,neutral
260,negative
261,positive
262,negative
263,positive
264,neutral
265,negative
266,negative
267,neutral
268,neutral
269,negative
270,neutral
271,neutral
272,neutral
273,positive
274,neutral
275,positive
276,positive
277,neutral
278,negative
279,positive
280,negative
281,neutral
282,neutral
283,positive
284,negative
285,positive
286,neutral
287,neutral
288,positive
289,neutral
290,positive
291,positive
292,positive
293,positive
294,positive
295,neutral
296,positive
297,negative
298,neutral
299,neutral
300,neutral
301,neutral
302,positive
303,neutral
304,negative
305,positive
306,neutral
307,neutral
308,negative
309,neutral
310,positive
311,neutral
312,neutral
313,neutral
314,positive
315,neutral
316,positive
317,positive
318,neutral
319,neutral
320,positive
321,positive
322,negative
323,negative
324,positive
325,neutral
326,positive
327,positive
328,positive
329,neutral
330,neutral
331,positive
332,negative
333,positive
334,negative
335,neutral
336,neutral
337,positive
338,neutral
339,positive
340,negative
341,positive
342,negative
343,neutral
344,neutral
345,negative
346,neutral
347,positive
348,neutral
349,neutral
350,neutral
351,neutral
352,neutral
353,neutral
354,positive
355,negative
356,neutral
357,positive
358,negative
359,neutral
360,positive
361,positive
362,negative
363,neutral
364,neutral
365,positive
366,neutral
367,neutral
368,neutral
369,positive
370,positive
371,negative
372,positive
373,negative
374,negative
375,neutral
376,positive
377,positive
378,neutral
379,positive
380,negative
381,positive
382,positive
383,neutral
384,neutral
385,positive
386,neutral
387,positive
388,negative
389,positive
390,positive
391,neutral
392,positive
393,positive
394,positive
395,negative
396,positive
397,neutral
398,positive
399,neutral
400,neutral
401,neutral
402,negative
403,negative
404,positive
405,positive
406,neutral
407,neutral
408,neutral
409,negative
410,neutral
411,negative
412,neutral
413,neutral
414,positive
415,negative
416,neutral
417,neutral
418,neutral
419,neutral
420,neutral
421,positive
422,neutral
423,positive
424,negative
425,positive
426,negative
427,positive
428,positive
429,neutral
430,positive
431,neutral
432,neutral
433,neutral
434,positive
435,neutral
436,neutral
437,neutral
438,neutral
439,neutral
440,positive
441,positive
442,negative
443,positive
444,neutral
445,positive
446,neutral
447,negative
448,positive
449,neutral
450,neutral
451,neutral
452,neutral
453,neutral
454,positive
455,positive
456,positive
457,positive
458,neutral
459,neutral
460,positive
461,neutral
462,neutral
463,positive
464,neutral
465,negative
466,positive
467,positive
468,positive
469,neutral
470,positive
471,neutral
472,positive
473,positive
474,neutral
475,positive
476,neutral
477,neutral
478,negative
479,positive
480,neutral
481,positive
482,neutral
483,neutral
484,negative
485,positive
486,positive
487,positive
488,positive
489,positive
490,neutral
491,neutral
492,positive
493,neutral
494,neutral
495,neutral
496,neutral
497,positive
498,positive
499,neutral
500,neutral
501,positive
502,neutral
503,negative
504,neutral
505,positive
506,neutral
507,neutral
508,positive
509,neutral
510,neutral
511,positive
512,neutral
513,neutral
514,negative
515,positive
516,positive
517,positive
518,neutral
519,positive
520,neutral
521,neutral
522,positive
523,neutral
524,positive
525,neutral
526,negative
527,positive
528,neutral
529,neutral
530,negative
531,neutral
532,neutral
533,neutral
534,neutral
535,neutral
536,negative
537,positive
538,positive
539,neutral
540,positive
541,positive
542,negative
543,positive
544,positive
545,positive
546,neutral
547,positive
548,positive
549,neutral
550,neutral
551,positive
552,neutral
553,neutral
554,neutral
555,positive
556,positive
557,positive
558,negative
559,positive
560,positive
561,negative
562,neutral
563,neutral
564,neutral
565,negative
566,neutral
567,negative
568,neutral
569,neutral
570,positive
571,neutral
572,neutral
573,neutral
574,neutral
575,neutral
576,positive
577,negative
578,neutral
579,positive
580,positive
581,neutral
582,neutral
583,positive
584,positive
585,positive
586,neutral
587,positive
588,negative
589,neutral
590,neutral
591,positive
592,positive
593,positive
594,neutral
595,positive
596,neutral
597,positive
598,neutral
599,neutral
600,neutral
601,negative
602,neutral
603,positive
604,negative
605,positive
606,neutral
607,negative
608,positive
609,neutral
610,positive
611,positive
612,neutral
613,neutral
614,neutral
615,positive
616,positive
617,neutral
618,positive
619,positive
620,neutral
621,neutral
622,positive
623,neutral
624,neutral
625,positive
626,neutral
627,neutral
628,negative
629,neutral
630,negative
631,neutral
632,positive
633,positive
634,positive
635,neutral
636,negative
637,positive
638,neutral
639,positive
640,neutral
641,neutral
642,neutral
643,neutral
644,negative
645,neutral
646,positive
647,positive
648,negative
649,positive
650,neutral
651,neutral
652,positive
653,positive
654,neutral
655,neutral
656,positive
657,neutral
658,positive
659,positive
660,neutral
661,negative
662,positive
663,positive
664,positive
665,neutral
666,positive
667,positive
668,neutral
669,positive
670,negative
671,positive
672,neutral
673,neutral
674,negative
675,neutral
676,neutral
677,neutral
678,neutral
679,neutral
680,negative
681,positive
682,neutral
683,neutral
684,neutral
685,neutral
686,positive
687,neutral
688,neutral
689,negative
690,positive
691,neutral
692,neutral
693,negative
694,neutral
695,positive
696,negative
697,neutral
698,positive
699,neutral
700,neutral
701,positive
702,neutral
703,positive
704,negative
705,negative
706,neutral
707,positive
708,negative
709,positive
710,negative
711,neutral
712,neutral
713,positive
714,positive
715,neutral
716,neutral
717,neutral
718,negative
719,positive
720,neutral
721,positive
722,neutral
723,neutral
724,negative
725,positive
726,neutral
727,neutral
728,positive
729,neutral
730,negative
731,negative
732,neutral
733,neutral
734,neutral
735,neutral
736,neutral
737,neutral
738,neutral
739,negative
740,positive
741,neutral
742,positive
743,positive
744,neutral
745,neutral
746,negative
747,negative
748,positive
749,neutral
750,neutral
751,neutral
752,positive
753,negative
754,positive
755,positive
756,positive
757,positive
758,negative
759,neutral
760,positive
761,neutral
762,positive
763,positive
764,positive
765,positive
766,neutral
767,neutral
768,positive
769,negative
770,positive
771,negative
772,neutral
773,positive
774,negative
775,positive
776,neutral
777,negative
778,positive
779,neutral
780,positive
781,neutral
782,positive
783,positive
784,neutral
785,negative
786,positive
787,neutral
788,negative
789,neutral
790,neutral
791,neutral
792,negative
793,neutral
794,neutral
795,neutral
796,negative
797,negative
798,positive
799,positive
800,neutral
801,positive
802,neutral
803,positive
804,neutral
805,positive
806,positive
807,positive
808,neutral
809,positive
810,positive
811,positive
812,positive
813,negative
814,neutral
815,positive
816,neutral
817,negative
818,neutral
819,positive
820,neutral
821,positive
822,neutral
823,neutral
824,positive
825,neutral
826,negative
827,negative
828,neutral
829,neutral
830,negative
831,neutral
832,positive
833,negative
834,positive
835,neutral
836,positive
837,negative
838,positive
839,positive
840,positive
841,positive
842,positive
843,negative
844,negative
845,positive
846,positive
847,neutral
848,neutral
849,positive
850,negative
851,positive
852,neutral
853,positive
854,negative
855,positive
856,neutral
857,positive
858,positive
859,neutral
860,positive
861,negative
862,neutral
863,positive
864,positive
865,neutral
866,negative
867,positive
868,positive
869,negative
870,negative
871,neutral
872,positive
873,neutral
874,neutral
875,positive
876,positive
877,positive
878,positive
879,neutral
880,neutral
881,neutral
882,neutral
883,neutral
884,neutral
885,positive
886,positive
887,negative
888,neutral
889,negative
890,neutral
891,positive
892,neutral
893,positive
894,positive
895,neutral
896,negative
897,neutral
898,neutral
899,negative
900,negative
901,positive
902,negative
903,positive
904,positive
905,neutral
906,negative
907,positive
908,positive
909,positive
910,positive
911,neutral
912,neutral
913,positive
914,positive
915,positive
916,negative
917,positive
918,negative
919,neutral
920,positive
921,neutral
922,neutral
923,neutral
924,neutral
925,neutral
926,neutral
927,positive
928,positive
929,neutral
930,positive
931,negative
932,positive
933,neutral
934,negative
935,positive
936,positive
937,neutral
938,neutral
939,positive
940,negative
941,negative
942,neutral
943,neutral
944,neutral
945,positive
946,neutral
947,neutral
948,neutral
949,positive
950,neutral
951,neutral
952,positive
953,neutral
954,positive
955,positive
956,positive
957,negative
958,positive
959,negative
960,neutral
961,neutral
962,neutral
963,positive
964,positive
965,neutral
966,positive
967,neutral
968,positive
969,positive
970,negative
971,negative
972,neutral
973,positive
974,positive
975,positive
976,positive
977,neutral
978,neutral
979,neutral
980,positive
981,positive
982,positive
983,positive
984,neutral
985,positive
986,negative
987,positive
988,positive
989,positive
990,neutral
991,negative
992,neutral
993,neutral
994,positive
995,positive
996,neutral
997,positive
998,neutral
999,neutral
1000,negative
1001,positive
1002,neutral
1003,positive
1004,neutral
1005,positive
1006,neutral
1007,neutral
1008,neutral
1009,positive
1010,neutral
1011,negative
1012,neutral
1013,positive
1014,neutral
1015,positive
1016,neutral
1017,positive
1018,neutral
1019,negative
1020,negative
1021,neutral
1022,neutral
1023,neutral
1024,positive
1025,neutral
1026,negative
1027,positive
1028,neutral
1029,neutral
1030,positive
1031,neutral
1032,neutral
1033,neutral
1034,positive
1035,neutral
1036,neutral
1037,neutral
1038,neutral
1039,positive
1040,positive
1041,positive
1042,positive
1043,negative
1044,negative
1045,positive
1046,negative
1047,positive
1048,positive
1049,neutral
1050,neutral
1051,neutral
1052,neutral
1053,neutral
1054,positive
1055,neutral
1056,negative
1057,negative
1058,neutral
1059,neutral
1060,neutral
1061,negative
1062,negative
1063,neutral
1064,neutral
