,Label TextBlob
38817,negative
36280,positive
44889,negative
30498,positive
39349,negative
15550,positive
23134,positive
35384,neutral
8948,neutral
42455,negative
21577,positive
17157,positive
32227,neutral
31404,positive
6179,positive
45478,negative
45891,negative
8353,neutral
46256,negative
6956,negative
23472,neutral
39858,negative
20944,negative
14995,positive
35639,positive
47382,negative
7808,negative
6123,neutral
42597,negative
10765,neutral
47505,positive
5095,neutral
40399,negative
34377,positive
44592,negative
46190,negative
2689,negative
27011,neutral
4059,positive
24809,neutral
27585,positive
47325,negative
43666,negative
2554,positive
48244,positive
31203,positive
30281,neutral
31856,positive
266,positive
38504,negative
16358,positive
42669,negative
34530,positive
30950,neutral
1237,neutral
40108,negative
36995,neutral
35357,positive
15028,positive
16858,neutral
43600,negative
23235,positive
44429,negative
30115,neutral
1345,neutral
46204,negative
17896,neutral
11819,neutral
3942,neutral
1755,neutral
31533,positive
3569,negative
10518,neutral
15300,neutral
24595,positive
17090,negative
23491,neutral
36631,neutral
8563,positive
17037,neutral
24131,positive
9852,negative
29963,neutral
22214,neutral
38141,negative
46018,negative
38091,negative
3844,negative
33993,positive
26597,neutral
9806,neutral
43495,negative
15036,positive
45102,negative
4562,neutral
29389,neutral
4216,neutral
38239,negative
26989,neutral
5776,neutral
37232,positive
16665,positive
32203,neutral
1881,positive
25419,positive
4537,negative
5560,positive
22707,neutral
33826,neutral
45645,negative
3883,negative
36992,neutral
27636,positive
40103,negative
11666,positive
20299,neutral
40531,negative
29886,positive
27518,positive
30675,positive
33162,neutral
11278,neutral
2120,positive
33561,neutral
21928,neutral
4218,neutral
21545,positive
15650,positive
43730,negative
17787,positive
22314,neutral
5594,neutral
16577,neutral
22219,neutral
18784,positive
25748,neutral
10840,neutral
19723,positive
31261,neutral
44524,negative
14279,positive
18726,positive
16748,positive
40858,negative
28618,neutral
7046,positive
16635,positive
28444,positive
16872,neutral
30475,positive
40596,negative
5200,neutral
31865,neutral
16048,positive
45370,negative
11527,positive
4056,neutral
37286,negative
435,neutral
35885,neutral
34450,neutral
23790,negative
23403,negative
16203,neutral
46111,negative
30818,neutral
17446,positive
23620,positive
26507,positive
14720,negative
45567,negative
37187,neutral
18008,neutral
17273,neutral
5459,neutral
21539,positive
41395,negative
38967,negative
45076,negative
27825,positive
18220,neutral
3737,neutral
5240,positive
18957,neutral
23065,neutral
10461,negative
2690,negative
1272,negative
2115,positive
19201,neutral
31496,positive
22162,neutral
31529,neutral
35044,neutral
11164,negative
4762,positive
14515,neutral
29254,negative
8204,positive
6673,positive
18320,neutral
21802,neutral
30949,positive
12634,neutral
794,positive
11749,negative
38839,negative
22693,neutral
28159,positive
41281,negative
20218,positive
32521,neutral
32229,neutral
33420,neutral
34482,positive
19317,neutral
46272,negative
5212,positive
16852,negative
23797,positive
42665,negative
9089,positive
4677,neutral
46295,negative
22085,neutral
26014,neutral
3997,negative
28371,positive
41882,negative
16569,neutral
39871,negative
43992,negative
22708,positive
4860,neutral
30673,negative
44612,negative
22861,neutral
46692,negative
44911,negative
2147,negative
36617,neutral
8906,positive
44598,negative
30725,negative
13438,neutral
39438,negative
18047,neutral
15583,negative
15107,negative
44499,negative
28531,neutral
41037,negative
12225,neutral
7169,positive
28609,positive
44395,negative
31376,positive
18469,neutral
47213,negative
20841,neutral
10063,neutral
15903,positive
8959,positive
46704,negative
41400,negative
42081,negative
31823,negative
7423,neutral
39775,negative
31201,negative
45996,negative
35569,negative
14966,positive
2816,neutral
10325,neutral
8263,positive
8789,positive
48235,positive
101,positive
36452,neutral
13664,neutral
27440,neutral
37762,negative
7927,positive
44875,negative
43866,negative
21993,positive
7206,positive
16026,positive
32622,neutral
7614,negative
44323,negative
36927,negative
29013,positive
37424,positive
19596,neutral
15503,neutral
27784,negative
19073,neutral
7635,neutral
34172,positive
13892,neutral
8456,positive
40445,negative
458,negative
21116,neutral
3875,neutral
23204,negative
19577,positive
27665,neutral
2445,positive
29327,positive
23100,positive
26551,positive
43386,negative
26285,positive
22541,positive
21024,positive
942,negative
4716,positive
30719,positive
5836,negative
23973,positive
27265,positive
46561,negative
32140,neutral
44991,negative
3827,neutral
46241,negative
41192,negative
8930,positive
26819,positive
28337,positive
18602,neutral
29987,neutral
32909,neutral
12907,negative
15016,neutral
1419,negative
13206,positive
743,positive
16287,neutral
37601,neutral
37628,neutral
27162,neutral
9038,negative
19621,neutral
20871,positive
43343,negative
30938,neutral
32097,neutral
37200,neutral
19933,positive
8312,positive
16007,neutral
10741,neutral
30005,positive
5525,positive
31187,positive
47580,positive
47915,positive
42961,negative
23440,positive
7300,positive
24441,neutral
16660,neutral
27034,positive
15159,neutral
27990,positive
29207,positive
8347,neutral
1473,neutral
29115,positive
19091,positive
32901,neutral
44089,negative
44477,negative
23861,positive
32170,neutral
25420,negative
21398,neutral
3664,positive
36084,positive
15732,negative
18397,neutral
43151,negative
46021,negative
895,positive
28711,positive
17109,neutral
15792,positive
36474,neutral
42651,negative
25397,negative
39260,negative
29312,positive
8590,negative
3086,neutral
18565,negative
47141,negative
1394,positive
30236,positive
19349,positive
39633,negative
40098,negative
33198,neutral
35324,neutral
35067,positive
6429,positive
21631,positive
36649,positive
10455,neutral
31949,positive
14174,neutral
48413,positive
13714,positive
21426,neutral
44877,negative
27042,positive
14796,positive
38515,negative
29049,negative
32319,positive
33841,neutral
20386,positive
36840,neutral
1055,negative
27335,negative
36705,negative
44417,negative
33998,positive
7319,positive
38531,negative
44870,negative
22448,neutral
35345,positive
37820,negative
43661,negative
37863,negative
45970,negative
32611,negative
32765,neutral
46235,negative
10340,neutral
44786,negative
5593,neutral
47452,negative
5225,neutral
1094,positive
47760,positive
9370,positive
44607,negative
27426,positive
9060,neutral
27223,neutral
48084,positive
31977,negative
40030,negative
29667,positive
39142,negative
12843,positive
22618,neutral
8192,positive
9090,positive
33981,negative
8019,positive
5680,neutral
20178,neutral
27853,neutral
15039,negative
47150,negative
29093,positive
8333,negative
20584,neutral
29256,positive
25682,neutral
25679,positive
5249,positive
23181,positive
31440,neutral
47543,positive
23435,neutral
17833,neutral
23315,negative
9804,neutral
6860,neutral
8226,neutral
48037,positive
42850,negative
33112,neutral
44806,negative
2797,positive
9823,neutral
38644,negative
46076,negative
27246,neutral
11186,negative
32442,positive
22938,neutral
43517,negative
35808,neutral
17077,neutral
10294,neutral
20230,positive
1865,negative
31512,neutral
9868,negative
43765,negative
38252,negative
20723,negative
22591,positive
6625,positive
36949,neutral
47998,positive
28956,negative
9990,positive
36113,negative
42037,negative
19851,positive
17427,neutral
15336,neutral
5934,positive
32904,neutral
37920,negative
13340,positive
11149,negative
15733,neutral
18369,negative
12502,neutral
26298,positive
18621,neutral
4492,negative
44459,negative
31909,neutral
38258,negative
7414,positive
4197,negative
28278,neutral
43066,negative
10245,neutral
1112,positive
48269,positive
28672,positive
30275,positive
18779,positive
15135,positive
41487,negative
434,positive
19161,positive
42532,negative
17033,positive
2935,neutral
8866,neutral
25932,neutral
31183,positive
48157,positive
12356,positive
11127,positive
34317,positive
44458,negative
29654,neutral
30197,negative
26675,neutral
25787,neutral
26039,positive
10481,negative
20975,neutral
13636,positive
17832,positive
21805,negative
16576,neutral
19119,neutral
30342,negative
38348,negative
25834,negative
8999,neutral
41438,negative
33160,neutral
44740,negative
15788,positive
24744,neutral
16434,neutral
42472,negative
6767,positive
42685,negative
46681,negative
8835,neutral
37709,positive
15840,positive
5382,positive
3099,negative
39596,negative
44593,negative
30392,positive
47756,positive
32830,neutral
16235,neutral
40983,negative
18870,neutral
12178,positive
39972,negative
30365,neutral
20414,neutral
38352,negative
37365,positive
1491,negative
11137,neutral
17531,neutral
47258,negative
18925,negative
8553,positive
30500,positive
3366,neutral
32136,neutral
7063,positive
19422,neutral
47655,positive
19771,neutral
1656,neutral
4205,positive
28183,positive
14894,positive
46107,negative
40882,negative
25945,negative
9511,neutral
27888,negative
17408,neutral
6841,positive
14408,neutral
14684,positive
123,positive
22064,positive
39573,negative
18180,neutral
3695,neutral
10635,positive
38726,negative
38187,negative
33119,neutral
21202,negative
11637,negative
25626,positive
910,positive
9559,neutral
11609,negative
42283,negative
1807,positive
46273,negative
26337,neutral
41373,negative
13222,positive
24437,neutral
15881,neutral
38814,negative
23898,positive
11934,positive
18931,neutral
23182,neutral
4095,neutral
38744,negative
35630,neutral
36837,negative
7182,neutral
9332,neutral
13589,neutral
35466,positive
31054,positive
20939,positive
34385,neutral
28695,neutral
19750,neutral
27931,neutral
25531,negative
22524,negative
26169,neutral
7604,negative
37214,positive
31131,positive
27285,neutral
48420,positive
23392,positive
37262,negative
39196,negative
13983,neutral
3158,negative
11596,neutral
42077,negative
1190,positive
2352,neutral
17827,neutral
31341,neutral
8820,negative
35544,negative
2106,neutral
11052,negative
7130,positive
16162,neutral
25648,positive
3410,neutral
9972,neutral
479,negative
10184,neutral
32019,neutral
1045,neutral
19979,neutral
879,neutral
45627,negative
29395,positive
30322,positive
21103,positive
12900,neutral
10957,positive
37203,positive
32723,neutral
2775,neutral
7398,neutral
4742,neutral
35634,negative
44661,negative
37459,neutral
21356,neutral
21850,positive
26954,positive
45236,negative
2185,positive
18069,neutral
4072,positive
25449,neutral
15204,neutral
39138,negative
18693,neutral
5838,negative
12823,positive
35960,neutral
23647,neutral
37418,positive
7868,positive
8141,neutral
46673,negative
9120,neutral
42818,negative
24289,positive
7432,positive
11630,positive
44561,negative
41455,negative
36636,positive
30807,positive
16534,positive
45816,negative
5051,positive
35601,negative
24057,positive
29489,positive
2197,neutral
22354,neutral
5936,neutral
43075,negative
16765,positive
26408,neutral
12608,neutral
10564,positive
46825,negative
9628,positive
42715,negative
29916,negative
28205,positive
15724,positive
46218,negative
6411,positive
22936,positive
24669,negative
45175,negative
46101,negative
20767,neutral
44492,negative
43532,negative
3708,neutral
20108,positive
15176,neutral
25662,positive
46001,negative
15198,positive
41371,negative
9460,neutral
14351,negative
35859,positive
43286,negative
8390,negative
9317,positive
21441,negative
28016,negative
25281,neutral
30198,positive
46597,negative
36623,neutral
37514,positive
22110,neutral
19489,neutral
20938,neutral
38473,negative
23354,neutral
19640,neutral
32343,positive
34305,negative
12693,positive
43135,negative
