,Label TextBlob
0,neutral
1,positive
2,positive
3,neutral
4,neutral
5,positive
6,positive
7,neutral
8,positive
9,neutral
10,positive
11,positive
12,positive
13,positive
14,negative
15,neutral
16,negative
17,neutral
18,neutral
19,positive
20,neutral
21,positive
22,neutral
23,positive
24,positive
25,positive
26,neutral
27,negative
28,positive
29,neutral
30,positive
31,neutral
32,neutral
33,neutral
34,negative
35,negative
36,positive
37,positive
38,positive
39,neutral
40,positive
41,positive
42,positive
43,positive
44,positive
45,neutral
46,positive
47,neutral
48,negative
49,positive
50,negative
51,negative
52,neutral
53,positive
54,neutral
55,positive
56,negative
57,neutral
58,positive
59,neutral
60,positive
61,positive
62,positive
63,neutral
64,neutral
65,neutral
66,neutral
67,neutral
68,neutral
69,neutral
70,neutral
71,neutral
72,positive
73,positive
74,neutral
75,neutral
76,positive
77,neutral
78,neutral
79,neutral
80,positive
81,positive
82,negative
83,positive
84,neutral
85,positive
86,positive
87,negative
88,positive
89,positive
90,negative
91,neutral
92,neutral
93,neutral
94,positive
95,neutral
96,negative
97,neutral
98,negative
99,negative
100,positive
101,neutral
102,positive
103,neutral
104,positive
105,positive
106,positive
107,positive
108,neutral
109,neutral
110,neutral
111,positive
112,neutral
113,neutral
114,positive
115,neutral
116,positive
117,negative
118,positive
119,positive
120,neutral
121,positive
122,positive
123,positive
124,positive
125,neutral
126,positive
127,positive
128,negative
129,negative
130,positive
131,positive
132,positive
133,positive
134,negative
135,neutral
136,positive
137,neutral
138,positive
139,negative
140,neutral
141,positive
142,neutral
143,positive
144,negative
145,neutral
146,negative
147,neutral
148,positive
149,positive
150,neutral
151,neutral
152,positive
153,positive
154,positive
155,negative
156,positive
157,positive
158,negative
159,neutral
160,neutral
161,negative
162,neutral
163,positive
164,neutral
165,positive
166,neutral
167,positive
168,positive
169,negative
170,positive
171,positive
172,neutral
173,positive
174,neutral
175,negative
176,neutral
177,negative
178,neutral
179,neutral
180,negative
181,negative
182,positive
183,positive
184,negative
185,neutral
186,neutral
187,positive
188,neutral
189,negative
190,positive
191,positive
192,positive
193,negative
194,neutral
195,positive
196,positive
197,neutral
198,neutral
199,positive
200,neutral
201,neutral
202,positive
203,neutral
204,neutral
205,negative
206,positive
207,negative
208,neutral
209,neutral
210,positive
211,positive
212,positive
213,negative
214,positive
215,neutral
216,positive
217,positive
218,positive
219,positive
220,positive
221,neutral
222,positive
223,neutral
224,negative
225,neutral
226,negative
227,negative
228,neutral
229,negative
230,positive
231,negative
232,neutral
233,neutral
234,neutral
235,positive
236,neutral
237,negative
238,positive
239,neutral
240,neutral
241,positive
242,positive
243,neutral
244,positive
245,neutral
246,positive
247,positive
248,positive
249,positive
250,neutral
251,neutral
252,negative
253,neutral
254,negative
255,positive
256,neutral
257,positive
258,positive
259,positive
260,neutral
261,positive
262,positive
263,neutral
264,negative
265,positive
266,neutral
267,neutral
268,positive
269,neutral
270,neutral
271,neutral
272,positive
273,neutral
274,positive
275,negative
276,positive
277,neutral
278,positive
279,positive
280,positive
281,neutral
282,neutral
283,negative
284,neutral
285,positive
286,negative
287,positive
288,positive
289,neutral
290,positive
291,neutral
292,negative
293,positive
294,positive
295,positive
296,neutral
297,negative
298,negative
299,positive
300,negative
301,positive
302,positive
303,neutral
304,negative
305,positive
306,neutral
307,negative
308,neutral
309,positive
310,neutral
311,negative
312,negative
313,neutral
314,negative
315,positive
316,neutral
317,positive
318,negative
319,positive
320,neutral
321,positive
322,positive
323,neutral
324,neutral
325,negative
326,neutral
327,neutral
328,neutral
329,neutral
330,positive
331,positive
332,neutral
333,neutral
334,neutral
335,negative
336,neutral
337,neutral
338,positive
339,neutral
340,positive
341,neutral
342,neutral
343,negative
344,positive
345,neutral
346,neutral
347,neutral
348,positive
349,positive
350,neutral
351,neutral
352,positive
353,positive
354,neutral
355,positive
356,neutral
357,positive
358,positive
359,negative
360,neutral
361,negative
362,neutral
363,neutral
364,positive
365,positive
366,neutral
367,neutral
368,neutral
369,positive
370,neutral
371,negative
372,neutral
373,neutral
374,positive
375,positive
376,positive
377,neutral
378,positive
379,neutral
380,negative
381,positive
382,positive
383,positive
384,positive
385,positive
386,positive
387,neutral
388,neutral
389,neutral
390,neutral
391,positive
392,neutral
393,neutral
394,neutral
395,neutral
396,positive
397,positive
398,negative
399,neutral
400,positive
401,neutral
402,positive
403,neutral
404,neutral
405,neutral
406,positive
407,negative
408,neutral
409,positive
410,positive
411,positive
412,neutral
413,neutral
414,negative
415,positive
416,positive
417,neutral
418,positive
419,positive
420,positive
421,positive
422,neutral
423,neutral
424,neutral
425,positive
426,positive
427,neutral
428,negative
429,negative
430,neutral
431,positive
432,neutral
433,positive
434,negative
435,positive
436,neutral
437,positive
438,positive
439,negative
440,neutral
441,positive
442,positive
443,neutral
444,positive
445,positive
446,positive
447,positive
448,negative
449,neutral
450,neutral
451,neutral
452,neutral
453,neutral
454,positive
455,positive
456,positive
457,neutral
458,negative
459,positive
460,neutral
461,neutral
462,positive
463,positive
464,positive
465,negative
466,positive
467,neutral
468,negative
469,positive
470,neutral
471,neutral
472,neutral
473,neutral
474,positive
475,neutral
476,neutral
477,negative
478,positive
479,negative
480,neutral
481,negative
482,positive
483,neutral
484,negative
485,neutral
486,neutral
487,neutral
488,positive
489,neutral
490,positive
491,positive
492,negative
493,neutral
494,negative
495,neutral
496,neutral
497,neutral
498,neutral
499,neutral
500,positive
501,positive
502,negative
503,neutral
504,neutral
505,neutral
506,positive
507,neutral
508,neutral
509,positive
510,positive
511,negative
512,neutral
513,positive
514,neutral
515,positive
516,neutral
517,neutral
518,negative
519,positive
520,neutral
521,neutral
522,positive
523,positive
524,positive
525,positive
526,neutral
527,positive
528,neutral
529,positive
530,neutral
531,neutral
532,negative
533,neutral
534,positive
535,neutral
536,neutral
537,negative
538,negative
539,neutral
540,positive
541,positive
542,positive
543,positive
544,positive
545,positive
546,neutral
547,neutral
548,neutral
549,neutral
550,neutral
551,positive
552,negative
553,negative
554,positive
555,neutral
556,positive
557,neutral
558,positive
559,positive
560,positive
561,neutral
562,neutral
563,positive
564,negative
565,positive
566,positive
567,neutral
568,positive
569,neutral
570,positive
571,positive
572,positive
573,neutral
574,positive
575,negative
576,negative
577,neutral
578,neutral
579,positive
580,negative
581,positive
582,neutral
583,neutral
584,positive
585,positive
586,positive
587,neutral
588,negative
589,positive
590,positive
591,positive
592,neutral
593,neutral
594,positive
595,positive
596,neutral
597,negative
598,positive
599,neutral
600,neutral
601,positive
602,neutral
603,positive
604,positive
605,positive
606,neutral
607,neutral
608,neutral
609,neutral
610,positive
611,positive
612,positive
613,positive
614,positive
615,positive
616,neutral
617,positive
618,positive
619,positive
620,positive
621,neutral
622,neutral
623,neutral
624,neutral
625,negative
626,neutral
627,positive
628,positive
629,positive
630,neutral
631,neutral
632,neutral
633,negative
634,neutral
635,neutral
636,positive
637,neutral
638,positive
639,positive
640,positive
641,positive
642,negative
643,neutral
644,positive
645,neutral
646,neutral
647,positive
648,neutral
649,neutral
650,positive
651,positive
652,neutral
653,neutral
654,negative
655,neutral
656,positive
657,negative
658,neutral
659,positive
660,positive
661,neutral
662,positive
663,neutral
664,negative
665,positive
666,positive
667,negative
668,positive
669,positive
670,positive
671,neutral
672,positive
673,negative
674,negative
675,negative
676,negative
677,positive
678,positive
679,neutral
680,positive
681,neutral
682,negative
683,positive
684,neutral
685,negative
686,neutral
687,neutral
688,neutral
689,neutral
690,positive
691,positive
692,positive
693,positive
694,negative
695,negative
696,neutral
697,neutral
698,neutral
699,negative
700,neutral
701,positive
702,positive
703,neutral
704,negative
705,negative
706,neutral
707,positive
708,negative
709,neutral
710,positive
711,neutral
712,positive
713,neutral
714,neutral
715,negative
716,positive
717,positive
718,neutral
719,neutral
720,positive
721,neutral
722,negative
723,positive
724,negative
725,positive
726,neutral
727,positive
728,neutral
729,positive
730,negative
731,positive
732,positive
733,positive
734,negative
735,neutral
736,positive
737,positive
738,neutral
739,neutral
740,neutral
741,neutral
742,positive
743,positive
744,positive
745,positive
746,negative
747,neutral
748,neutral
749,positive
750,neutral
751,neutral
752,neutral
753,positive
754,neutral
755,positive
756,negative
757,neutral
758,positive
759,positive
760,negative
761,neutral
762,neutral
763,neutral
764,neutral
765,positive
766,positive
767,neutral
768,negative
769,positive
770,positive
771,positive
772,positive
773,positive
