,Label Vader
0,negative
1,neutral
2,positive
3,negative
4,negative
5,positive
6,positive
7,negative
8,positive
9,negative
10,negative
11,positive
12,negative
13,negative
14,positive
15,negative
16,positive
17,negative
18,positive
19,negative
20,positive
21,negative
22,negative
23,negative
24,positive
25,positive
26,positive
27,negative
28,negative
29,neutral
30,negative
31,negative
32,negative
33,negative
34,negative
35,negative
36,negative
37,negative
38,negative
39,neutral
40,neutral
41,negative
42,negative
43,negative
44,negative
45,negative
46,negative
47,negative
48,positive
49,negative
50,negative
51,negative
52,negative
53,negative
54,negative
55,positive
56,positive
57,negative
58,negative
59,negative
60,negative
61,positive
62,negative
63,negative
64,positive
65,negative
66,neutral
67,neutral
68,positive
69,neutral
70,negative
71,negative
72,positive
73,negative
74,negative
75,negative
76,negative
77,positive
78,positive
79,positive
80,negative
81,negative
82,negative
83,negative
84,negative
85,positive
86,positive
87,positive
88,negative
89,negative
90,positive
91,negative
92,negative
93,negative
94,negative
95,negative
96,negative
97,negative
98,negative
99,positive
100,negative
101,negative
102,positive
103,negative
104,positive
105,negative
106,negative
107,negative
108,negative
109,negative
110,negative
111,positive
112,positive
113,negative
114,negative
115,negative
116,negative
117,positive
118,negative
119,negative
120,positive
121,negative
122,negative
123,negative
124,neutral
125,negative
126,neutral
127,negative
128,negative
129,positive
130,negative
131,negative
132,negative
133,positive
134,negative
135,negative
136,positive
137,negative
138,negative
139,negative
140,positive
141,negative
142,positive
143,negative
144,neutral
145,positive
146,negative
147,negative
148,negative
149,negative
150,negative
151,positive
152,negative
153,negative
154,positive
155,positive
156,positive
157,negative
158,negative
159,negative
160,positive
161,positive
162,negative
163,negative
164,negative
165,negative
166,positive
167,positive
168,negative
169,neutral
170,negative
171,positive
172,negative
173,negative
174,positive
175,positive
176,negative
177,neutral
178,negative
179,negative
180,positive
181,negative
182,negative
183,negative
184,negative
185,negative
186,negative
187,positive
188,positive
189,negative
190,positive
191,positive
192,negative
193,negative
194,negative
195,negative
196,positive
197,negative
198,negative
199,negative
200,negative
201,negative
202,negative
203,negative
204,negative
205,negative
206,negative
207,negative
208,negative
209,negative
210,negative
211,negative
212,negative
213,negative
214,negative
215,neutral
216,negative
217,positive
218,positive
219,positive
220,neutral
221,neutral
222,positive
223,negative
224,negative
225,negative
226,negative
227,negative
228,negative
229,negative
230,neutral
231,negative
232,negative
233,positive
234,positive
235,negative
236,negative
237,positive
238,positive
239,negative
240,negative
241,neutral
242,negative
243,negative
244,negative
245,positive
246,negative
247,positive
248,positive
249,negative
250,negative
251,negative
252,negative
253,negative
254,negative
255,positive
256,negative
257,positive
258,negative
259,negative
260,negative
261,positive
262,negative
263,positive
264,negative
265,neutral
266,positive
267,negative
268,positive
269,negative
270,positive
271,negative
272,positive
273,negative
274,negative
275,positive
276,negative
277,negative
278,positive
279,negative
280,negative
281,negative
282,negative
283,negative
284,negative
285,negative
286,negative
287,negative
288,negative
289,negative
290,negative
291,negative
292,negative
293,negative
294,positive
295,negative
296,negative
297,negative
298,negative
299,negative
300,positive
301,negative
302,positive
303,negative
304,positive
305,positive
306,positive
307,negative
308,negative
309,negative
310,positive
311,negative
312,negative
313,positive
314,positive
315,positive
316,negative
317,negative
318,negative
319,negative
320,negative
321,neutral
322,negative
323,positive
324,negative
325,positive
326,negative
327,negative
328,neutral
329,negative
330,positive
331,positive
332,negative
333,positive
334,positive
335,positive
336,positive
337,positive
338,negative
339,negative
340,positive
341,negative
342,positive
343,negative
344,positive
345,negative
346,negative
347,positive
348,positive
349,negative
350,negative
351,negative
352,positive
353,negative
354,negative
355,negative
356,negative
357,negative
358,negative
359,negative
360,negative
361,positive
362,negative
363,negative
364,negative
365,positive
366,neutral
367,negative
368,negative
369,negative
370,negative
371,negative
372,positive
373,negative
374,neutral
375,negative
376,positive
377,positive
378,negative
379,neutral
380,positive
381,negative
382,negative
383,positive
384,positive
385,negative
386,negative
387,negative
388,negative
389,negative
390,negative
391,negative
392,positive
393,negative
394,negative
395,negative
396,negative
397,negative
398,negative
399,neutral
400,negative
401,negative
402,negative
403,positive
404,positive
405,negative
406,negative
407,positive
408,negative
409,negative
410,negative
411,positive
412,neutral
413,negative
414,negative
415,negative
416,negative
417,negative
418,positive
419,negative
420,negative
421,negative
422,negative
423,positive
424,positive
425,positive
426,negative
427,positive
428,negative
429,negative
430,positive
431,negative
432,positive
433,positive
434,negative
435,negative
436,negative
437,positive
438,negative
439,negative
440,negative
441,negative
442,negative
443,negative
444,positive
445,positive
446,negative
447,positive
448,negative
449,negative
450,negative
451,negative
452,negative
453,positive
454,negative
455,negative
456,negative
457,negative
458,positive
459,positive
460,positive
461,negative
462,neutral
463,negative
464,negative
465,positive
466,negative
467,negative
468,negative
469,positive
470,negative
471,negative
472,negative
473,negative
474,negative
475,neutral
476,negative
477,positive
478,negative
479,negative
480,negative
481,negative
482,negative
483,positive
484,negative
485,positive
486,negative
487,positive
488,positive
489,neutral
490,neutral
491,negative
492,negative
493,positive
494,negative
495,positive
496,negative
497,negative
498,negative
499,negative
500,positive
501,negative
502,negative
503,negative
504,positive
505,negative
506,positive
507,negative
508,negative
509,negative
510,negative
511,negative
512,negative
513,neutral
514,negative
515,positive
516,negative
517,negative
518,negative
519,positive
520,negative
521,positive
522,negative
523,positive
524,negative
525,negative
526,negative
527,positive
528,negative
529,negative
530,negative
531,negative
532,negative
533,negative
534,negative
535,negative
536,negative
537,negative
538,negative
539,negative
540,positive
541,positive
542,negative
543,negative
544,negative
545,negative
546,positive
547,negative
548,negative
549,positive
550,negative
551,negative
552,negative
553,negative
554,negative
555,negative
556,negative
557,negative
558,negative
559,negative
560,negative
561,negative
562,negative
563,neutral
564,negative
565,negative
566,negative
567,negative
568,negative
569,negative
570,positive
571,positive
572,positive
573,negative
574,negative
575,negative
576,negative
577,negative
578,negative
579,neutral
580,negative
581,positive
582,positive
583,negative
584,positive
585,negative
586,neutral
587,negative
588,negative
589,negative
590,negative
591,negative
592,negative
593,positive
594,negative
595,negative
596,neutral
597,negative
598,negative
599,negative
600,negative
601,negative
602,positive
603,negative
604,negative
605,negative
606,neutral
607,negative
608,negative
609,negative
610,negative
611,positive
612,negative
613,negative
614,positive
615,negative
616,negative
617,negative
618,negative
619,negative
620,negative
621,negative
622,negative
623,negative
624,negative
625,positive
626,negative
627,negative
628,negative
629,negative
630,negative
631,negative
632,negative
633,negative
634,positive
635,negative
636,neutral
637,negative
638,positive
639,positive
640,negative
641,neutral
642,negative
643,positive
644,negative
645,negative
646,positive
647,positive
648,negative
649,negative
650,negative
651,negative
652,positive
653,negative
654,positive
655,negative
656,negative
657,negative
658,positive
659,negative
660,negative
661,neutral
662,negative
663,negative
664,negative
665,negative
666,negative
667,negative
668,negative
669,negative
670,negative
671,negative
672,negative
673,negative
674,negative
675,positive
676,negative
677,negative
678,negative
679,negative
680,negative
681,positive
682,negative
683,positive
684,negative
685,negative
686,neutral
687,negative
688,negative
689,negative
690,negative
691,positive
692,negative
693,neutral
694,negative
695,negative
696,positive
697,negative
698,negative
699,neutral
700,negative
701,negative
702,negative
703,negative
704,negative
705,negative
706,negative
707,negative
708,negative
709,negative
710,positive
711,positive
712,negative
713,negative
714,positive
715,neutral
716,positive
717,negative
718,positive
719,negative
720,negative
721,negative
722,negative
723,negative
724,neutral
725,negative
726,positive
727,negative
728,positive
729,negative
730,negative
731,neutral
732,positive
733,negative
734,negative
735,negative
736,negative
737,negative
738,positive
739,neutral
740,negative
741,positive
742,negative
743,negative
744,positive
745,negative
746,neutral
747,negative
748,positive
749,negative
750,negative
751,negative
752,negative
753,negative
754,negative
755,negative
756,negative
757,negative
758,negative
759,positive
760,negative
761,neutral
762,negative
763,negative
764,positive
765,negative
766,negative
767,negative
768,positive
769,negative
770,negative
771,neutral
772,negative
773,positive
774,negative
775,neutral
776,negative
777,negative
778,negative
779,negative
780,negative
781,negative
782,negative
783,negative
784,negative
785,negative
786,negative
787,negative
788,negative
789,negative
790,positive
791,neutral
792,negative
793,negative
794,positive
795,negative
796,negative
797,positive
798,positive
799,negative
800,negative
801,negative
802,positive
803,negative
804,neutral
805,negative
806,negative
807,positive
808,negative
809,negative
810,positive
811,negative
812,negative
813,negative
814,negative
815,positive
816,neutral
817,negative
818,negative
819,negative
820,negative
821,positive
822,negative
823,negative
824,negative
825,negative
826,negative
827,negative
828,negative
829,positive
830,negative
831,positive
832,negative
833,negative
834,negative
835,negative
836,negative
837,negative
838,negative
839,negative
840,negative
841,negative
842,negative
843,negative
844,positive
845,positive
846,positive
847,positive
848,negative
849,negative
850,negative
851,neutral
852,neutral
853,positive
854,negative
855,positive
856,neutral
857,negative
858,negative
859,negative
860,positive
861,negative
862,negative
863,negative
864,positive
865,negative
866,negative
867,negative
868,positive
869,positive
870,negative
871,positive
872,negative
873,negative
874,negative
875,negative
876,negative
877,negative
878,negative
879,positive
880,negative
881,negative
882,negative
883,negative
884,negative
885,negative
886,negative
887,positive
888,negative
889,negative
890,negative
891,negative
892,negative
893,negative
894,positive
895,negative
896,negative
897,positive
898,negative
899,negative
900,negative
901,negative
902,negative
903,negative
904,negative
905,positive
906,negative
907,positive
908,positive
909,negative
910,negative
911,positive
912,negative
913,positive
914,negative
915,positive
916,negative
917,negative
918,negative
919,negative
920,negative
921,negative
922,positive
923,negative
924,negative
925,negative
926,positive
927,negative
928,positive
929,negative
930,negative
931,positive
932,negative
933,positive
934,negative
935,negative
936,negative
937,negative
938,negative
939,negative
940,positive
941,negative
942,negative
943,negative
944,positive
945,negative
946,negative
947,negative
948,negative
949,negative
950,negative
951,positive
952,negative
953,negative
954,negative
955,positive
956,positive
957,negative
958,negative
959,negative
960,negative
961,positive
962,negative
963,negative
964,positive
965,negative
966,negative
967,negative
968,positive
969,positive
970,negative
971,negative
972,negative
973,negative
974,negative
975,negative
976,positive
977,negative
978,negative
979,positive
980,positive
981,negative
982,positive
983,negative
984,negative
985,negative
986,negative
987,negative
988,negative
989,negative
990,neutral
991,negative
992,positive
993,negative
994,positive
995,positive
996,negative
997,positive
998,negative
999,negative
1000,negative
1001,positive
1002,positive
1003,negative
1004,positive
1005,negative
1006,positive
1007,negative
1008,positive
1009,negative
1010,negative
1011,negative
1012,positive
1013,negative
1014,negative
1015,positive
1016,negative
1017,negative
1018,negative
1019,negative
1020,neutral
1021,negative
1022,negative
1023,positive
1024,negative
1025,negative
1026,positive
1027,negative
1028,negative
1029,positive
1030,negative
1031,negative
1032,positive
1033,negative
1034,negative
1035,negative
1036,negative
1037,negative
1038,positive
1039,negative
1040,negative
1041,negative
1042,positive
1043,neutral
1044,positive
1045,negative
1046,negative
1047,positive
1048,positive
1049,negative
1050,negative
1051,negative
1052,negative
1053,positive
1054,negative
1055,negative
1056,negative
1057,negative
1058,negative
1059,negative
1060,negative
1061,negative
1062,negative
1063,negative
1064,positive
1065,negative
1066,negative
1067,negative
1068,positive
1069,negative
1070,positive
1071,negative
1072,positive
1073,negative
1074,negative
1075,positive
1076,negative
1077,neutral
1078,negative
1079,neutral
1080,negative
1081,negative
1082,negative
1083,negative
1084,neutral
1085,neutral
1086,negative
1087,positive
1088,negative
1089,positive
